,0
qpos,212.67709350585938
driver_podiumrate_lN,179.19503784179688
grid,72.23307800292969
team_podiumrate_lN,66.20250701904297
driverRef_moss,29.795764923095703
constructor_name_Epperly,29.11975860595703
constructor_name_Ferrari,26.572538375854492
driverRef_piquet_jr,25.240673065185547
constructor_name_Ligier,23.1396484375
driverRef_whitehead,22.60475730895996
driverRef_laffite,22.453500747680664
driverRef_mansell,21.646093368530273
constructor_name_Shadow,21.445667266845703
driverRef_senna,21.313213348388672
constructor_name_Cooper-BRM,21.048084259033203
driverRef_marimon,20.87699317932129
country_USA,20.1641845703125
driverRef_piquet,19.84734535217285
driver_points_lN,19.774282455444336
driverRef_george_amick,19.40278434753418
driverRef_trulli,19.395998001098633
constructor_name_Brabham,19.268037796020508
circuitId_43,18.96260643005371
constructor_name_Sauber,18.962244033813477
driverRef_beltoise,18.848478317260742
constructor_name_McLaren,18.835065841674805
driverRef_surtees,18.79204559326172
circuitId_19,18.766788482666016
country_Austria,18.37742042541504
driverRef_streiff,17.948278427124023
driverRef_mclaren,17.80347442626953
year,17.77248764038086
driverRef_nannini,17.68366241455078
circuitId_29,17.554073333740234
driverRef_coulthard,17.429832458496094
driverRef_johansson,17.29172706604004
constructor_name_Phillips,16.948413848876953
constructor_name_Matra-Ford,16.643444061279297
circuitId_16,16.598398208618164
driverRef_freeland,16.527708053588867
constructor_name_Toro Rosso,16.15363121032715
driverRef_depailler,16.14155387878418
constructor_name_BMW Sauber,16.061182022094727
constructor_name_Force India,16.053607940673828
circuitId_55,16.004362106323242
country_Azerbaijan,15.750653266906738
constructor_name_Jordan,15.616849899291992
circuitId_49,15.397714614868164
driverRef_verstappen,15.355786323547363
driverRef_barrichello,15.27196979522705
